,audi,bmw,cadillac,honda,jaguar,lexus,lincoln,mercedes,tesla,toyota,,,,,
audi, ,2.159289584,4.052532833,2.420304203,2.822299652,3.356156333,4.043108338,4.588512982,0.509834776,1.888193395,,,,,
bmw, , ,2.128514495,1.322002205,2.340565751,2.368765338,2.641754832,3.19457863,0.704686463,1.662561159,,,,,
cadillac, , , ,2.815214306,6.576923077,5.467562558,11.62432916,6.64764268,0.848635236,4.190605854,,,,,
honda, , , , ,1.62256194,3.215800471,3.169655883,1.954053089,2.564694679,9.046141789,,,,,
jaguar, , , , , ,3.973321859,15.33887043,5.910138249,3.546082949,3.891276865,,,,,
lexus, , , , , , ,7.76183805,6.679168286,0.89720171,7.055869496,,,,,
lincoln, , , , , , , ,6.927231808,2.309077269,2.533854703,,,,,
mercedes, , , , , , , , ,3.202913632,2.92891807,,,,,
tesla, , , , , , , , , ,4.393377105,,,,,
toyota, , , , , , , , , , ,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,, ,audi,bmw,cadillac,honda,jaguar,lexus,lincoln,mercedes,tesla,toyota,,,
,,audi, ,2.159289584,4.052532833,2.420304203,2.822299652,3.356156333,4.043108338,4.588512982,0.509834776,1.888193395,,,
,,bmw, , ,2.128514495,1.322002205,2.340565751,2.368765338,2.641754832,3.19457863,0.704686463,1.662561159,,,
,,cadillac, , , ,2.815214306,6.576923077,5.467562558,11.62432916,6.64764268,0.848635236,4.190605854,,,
,,honda, , , , ,1.62256194,3.215800471,3.169655883,1.954053089,2.564694679,9.046141789,,,
,,jaguar, , , , , ,3.973321859,15.33887043,5.910138249,3.546082949,3.891276865,,,
,,lexus, , , , , , ,7.76183805,6.679168286,0.89720171,7.055869496,,,
,,lincoln, , , , , , , ,6.927231808,2.309077269,2.533854703,,,
,,mercedes, , , , , , , , ,3.202913632,2.92891807,,Brand,Number of Mentions
,,tesla, , , , , , , , , ,4.393377105,,bmw,2035
,,toyota, , , , , , , , , , ,,audi,1344
,,,,,,,,,,,,,,lexus,526
,,,,,,,,,,,,,,cadillac,386
,,,,,,,,,,,,,,honda,367
,,,,,,,,,,,,,,mercedes,265
,,,,,,,,,,,,,,toyota,141
,,,,,,,,,,,,,,tesla,122
,,,,,,,,,,,,,,lincoln,49
,,,,,,,,,,,,,,jaguar,34
