,nb,nb2,value
0,audi,bmw,2.159289584379165296266163513
1,audi,cadillac,4.052532833020637898686679174
2,audi,honda,2.420304203042030420304203042
3,audi,jaguar,2.822299651567944250871080139
4,audi,lexus,3.356156332647663826035850720
5,audi,lincoln,4.043108338060124787294384572
6,audi,mercedes,4.588512981904012588512981904
7,audi,tesla,0.5098347757671125098347757671
8,audi,toyota,1.888193395208288366069501403
9,bmw,cadillac,2.128514494731670033302396681
10,bmw,honda,1.322002205117863811711218603
11,bmw,jaguar,2.340565750785764980229139207
12,bmw,lexus,2.368765338144629618545152933
13,bmw,lincoln,2.641754831894630861405912159
14,bmw,mercedes,3.194578630463151628929233728
15,bmw,tesla,0.7046864626021658004990956753
16,bmw,toyota,1.662561158670242499230609797
17,cadillac,honda,2.815214305989213738291229066
18,cadillac,jaguar,6.576923076923076923076923077
19,cadillac,lexus,5.467562557924003707136237257
20,cadillac,lincoln,11.62432915921288014311270125
21,cadillac,mercedes,6.647642679900744416873449132
22,cadillac,tesla,0.8486352357320099255583126551
23,cadillac,toyota,4.190605854322668481960517359
24,honda,jaguar,1.622561939905113336847654191
25,honda,lexus,3.215800471257724625439025475
26,honda,lincoln,3.169655882605337681283789582
27,honda,mercedes,1.954053088917985954053088918
28,honda,tesla,2.564694679204856564694679205
29,honda,toyota,9.046141788851516833752408321
30,jaguar,lexus,3.973321858864027538726333907
31,jaguar,lincoln,15.33887043189368770764119601
32,jaguar,mercedes,5.910138248847926267281105991
33,jaguar,tesla,3.546082949308755760368663594
34,jaguar,toyota,3.891276864728192161820480405
35,lexus,lincoln,7.761838049873914261697954609
36,lexus,mercedes,6.679168286047415468324912553
37,lexus,tesla,0.8972017100660707345511076564
38,lexus,toyota,7.055869495681842413903401215
39,lincoln,mercedes,6.927231807951987996999249812
40,lincoln,tesla,2.309077269317329332333083271
41,lincoln,toyota,2.533854702613706523976126775
42,mercedes,tesla,3.202913631633714880332986472
43,mercedes,toyota,2.928918070225520982015415358
44,tesla,toyota,4.393377105338281473023123037
