car,4320,,,,,,,,,,,,,,,,,,,,,
like,2489,,,,,,,,,,,,,,,,,,,,,
would,2393,,,,,,,,,,,,,,,,,,,,,
one,2296,,,,,,,,,,,,,,,,,,,,,
cars,2215,,,,,,,,,,,,,,,,,,,,,
bmw,2035,,Brand,Number of Mentions,,,,,,,,,,,,,,,,,,
get,1944,,bmw,2035,,,,,,,,,,,,,,,,,,
new,1782,,audi,1344,,,,,,,,,,,,,,,,,,
dont,1606,,lexus,526,,,,,,,,,,,,,,,,,,
think,1547,,cadillac,386,,,,,,,,,,,,,,,,,,
even,1350,,honda,367,,,,,,,,,,,,,,,,,,
audi,1344,,mercedes,265,,,,,,,,,,,,,,,,,,
im,1304,,toyota,141,,,,,,,,,,,,,,,,,,
good,1272,,tesla,122,,,,,,,,,,,,,,,,,,
said,1267,,lincoln,49,,,,,,,,,,,,,,,,,,
well,1264,,jaguar,34,,,,,,,,,,,,,,,,,,
3,1221,,,,,,,,,,,,,,,,,,,,,
much,1212,,,,,Attribute,Number of Mentions,,,,,,,,,,,,,,,
drive,1148,,,,,price,957,,,,,,,,,,,,,,,
time,1098,,,,,miles,815,,,,Attribute,Number of Mentions,,,,,,,,,,
better,1086,,,,,engine,724,,,,price,957,,,,,,,,,,
really,1083,,,,,performance,633,,,,miles,815,,,,,,,,,,
know,1076,,,,,luxury,580,,,,engine,724,,,,,,,,,,
acura,1067,,,,,,,,,,performance,633,,,,,,,,,,
years,990,,,,,,,,,,luxury,580,,,,,,,,,,
price,957,,,,,,,,,,,,,,,,,,,,,
tl,944,,,,,,,,,,,,,,,,,,,,,
also,936,,,,,,,,,,,,,,,,,,,,,
2,911,,,,,,,,,,,,,,,,,,,,,
could,902,,,,,,,,,,,,,,,,,,,,,
still,894,,,,,,,,,,,,,,,,,,,,,
see,868,,,,,,,,,,,,,,,,,,,,,
people,863,,,,,,,,,,,,,,,,,,,,,
back,859,,,,,,,,,,,,,,,,,,,,,
want,853,,,,,,,,,,,,,,,,,,,,,
go,820,,,,,,,,,,,,,,,,,,,,,
miles,815,,,,,,,,,,,,,,,,,,,,,
way,774,,,,,,,,,,,,,,,,,,,,,
make,752,,,,,,,,,,,,,,,,,,,,,
driving,752,,,,,,,,,,,,,,,,,,,,,
lease,751,,,,,,,,,,,,,,,,,,,,,
dealer,740,,,,,,,,,,,,,,,,,,,,,
engine,724,,,,,,,,,,,,,,,,,,,,,
say,710,,,,,,,,,,,,,,,,,,,,,
s4,704,,,,,,,,,,,,,,,,,,,,,
going,691,,,,,,,,,,,,,,,,,,,,,
awd,691,,,,,,,,,,,,,,,,,,,,,
right,680,,,,,,,,,,,,,,,,,,,,,
5,679,,,,,,,,,,,,,,,,,,,,,
less,674,,,,,,,,,,,,,,,,,,,,,
year,664,,,,,,,,,,,,,,,,,,,,,
thats,649,,,,,,,,,,,,,,,,,,,,,
since,635,,,,,,,,,,,,,,,,,,,,,
performance,633,,,,,,,,,,,,,,,,,,,,,
4,629,,,,,,,,,,,,,,,,,,,,,
many,626,,,,,,,,,,,,,,,,,,,,,
ive,622,,,,,,,,,,,,,,,,,,,,,
series,618,,,,,,,,,,,,,,,,,,,,,
great,613,,,,,,,,,,,,,,,,,,,,,
probably,612,,,,,,,,,,,,,,,,,,,,,
nice,611,,,,,,,,,,,,,,,,,,,,,
infiniti,599,,,,,,,,,,,,,,,,,,,,,
got,596,,,,,,,,,,,,,,,,,,,,,
take,591,,,,,,,,,,,,,,,,,,,,,
sport,591,,,526,,,,,,,,,,,,,,,,,,
lot,581,,,,,,,,,,,,,,,,,,,,,
sure,580,,,,,,,,,,,,,,,,,,,,,
luxury,580,,,,,,,,,,,,,,,,,,,,,
seems,579,,,,,,,,,,,,,,,,,,,,,
buy,574,,,,,,Brand,Number of Mentions,,,,,,,,,,,,,,
manual,556,,,,,,bmw,2035,,,,,,,,,,,,,,
something,547,,,,,,audi,1344,,,,Column1,audi,bmw,cadillac,honda,jaguar,lexus,lincoln,mercedes,tesla,toyota
may,546,,,,,,lexus,526,,,,audi, ,2.159289584,4.052532833,2.420304203,2.822299652,3.356156333,4.043108338,4.588512982,0.509834776,1.888193395
thing,545,,,,,,cadillac,386,,,,bmw, , ,2.128514495,1.322002205,2.340565751,2.368765338,2.641754832,3.19457863,0.704686463,1.662561159
model,539,,,,,,honda,367,,,,cadillac, , , ,2.815214306,6.576923077,5.467562558,11.62432916,6.64764268,0.848635236,4.190605854
money,539,,,,,,mercedes,265,,,,honda, , , , ,1.62256194,3.215800471,3.169655883,1.954053089,2.564694679,9.046141789
need,532,,,,,,toyota,141,,,,jaguar, , , , , ,3.973321859,15.33887043,5.910138249,3.546082949,3.891276865
used,529,,,,,,tesla,122,,,,lexus, , , , , , ,7.76183805,6.679168286,0.89720171,7.055869496
never,529,,,,,,lincoln,49,,,,lincoln, , , , , , , ,6.927231808,2.309077269,2.533854703
first,526,,,,,,jaguar,34,,,,mercedes, , , , , , , , ,3.202913632,2.92891807
lexus,526,,,,,,,,,,,tesla, , , , , , , , , ,4.393377105
cant,509,,,,,,,,,,,toyota, , , , , , , , , , 
6,502,,,,,,,,,,,,,,,,,,,,,
us,501,,,,,,,,,,,,,,,,,,,,,
look,497,,,,,,,,,,,,,,,,,,,,,
point,494,,,,,,,,,,,,,,,,,,,,,
doesnt,491,,,,,,,,,,,,,,,,,,,,,
looking,486,,,,,,,,,,,,,,,,,,,,,
least,486,,,,,,,,,,,,,,,,,,,,,
old,485,,,,,,,,,,,,,,,,,,,,,
last,481,,,,,,,,,,,,,,,,,,,,,
another,480,,,,,,,,,,,,,,,,,,,,,
tires,479,,,,,,,,,,,,,,,,,,,,,
didnt,476,,,,,,,,,,,,,,,,,,,,,
test,475,,,,,,,,,,,,,,,,,,,,,
1,474,,,,,,,,,,,,,,,,,,,,,
might,471,,,,,,,,,,,,,,,,,,,,,
long,469,,,,,,,,,,,,,,,,,,,,,
every,465,,,,,,,,,,,,,,,,,,,,,
sedan,461,,,,,,,,,,,,,,,,,,,,,
pretty,460,,,,,,,,,,,,,,,,,,,,,
around,454,,,,,,,,,,,,,,,,,,,,,
cost,449,,,,,,,,,,,,,,,,,,,,,
id,447,,,,,,,,,,,,,,,,,,,,,
maybe,442,,,,,,,,,,,,,,,,,,,,,
power,440,,,,,,,,,,,,,,,,,,,,,
actually,437,,,,,,,,,,,,,,,,,,,,,
a4,435,,,,,,,,,,,,,,,,,,,,,
little,433,,,,,,,,,,,,,,,,,,,,,
two,433,,,,,,,,,,,,,,,,,,,,,
cts,433,,,,,,,,,,,,,,,,,,,,,
however,431,,,,,,,,,,,,,,,,,,,,,
best,431,,,,,,,,,,,,,,,,,,,,,
tlx,423,,,,,,,,,,,,,,,,,,,,,
interior,415,,,,,,,,,,,,,,,,,,,,,
transmission,413,,,,,,,,,,,,,,,,,,,,,
tsx,411,,,,,,,,,,,,,,,,,,,,,
though,411,,,,,,,,,,,,,,,,,,,,,
hp,402,,,,,,,,,,,,,,,,,,,,,
big,401,,,,,,,,,,,,,,,,,,,,,
etc,396,,,,,,,,,,,,,,,,,,,,,
use,394,,,,,,,,,,,,,,,,,,,,,
previous,394,,,,,,,,,,,,,,,,,,,,,
find,394,,,,,,,,,,,,,,,,,,,,,
next,393,,,,,,,,,,,,,,,,,,,,,
oil,391,,,,,,,,,,,,,,,,,,,,,
cadillac,386,,,,,,,,,,,,,,,,,,,,,
course,383,,,,,,,,,,,,,,,,,,,,,
getting,381,,,,,,,,,,,,,,,,,,,,,
put,377,,,,,,,,,,,,,,,,,,,,,
sales,374,,,,,,,,,,,,,,,,,,,,,
far,374,,,,,,,,,,,,,,,,,,,,,
